id	title	company	company_slug	location	type	posted	role_category	seniority	culture_values	glassdoor_rating	apply_url	profile_url	jobs_filter_url	post_count	last_posted	status	og_image
3660	Senior Data Engineer, BizTech	Airbnb	airbnb	Bangalore, India	Full-time · Remote	3d ago	Engineering	Senior	Remote-Friendly, Work-Life Balance, Diverse & Inclusive, Open Source Culture, Strong Comp & Equity	4.1	https://careers.airbnb.com/positions/7640881?gh_jid=7640881&ref=jobsbyculture.com	https://jobsbyculture.com/companies/airbnb	https://jobsbyculture.com/jobs?company=airbnb			expired	https://jobsbyculture.com/api/og?type=company&slug=airbnb
3661	Staff / Senior Software Engineer, Cloud Inference	Anthropic	anthropic	San Francisco, CA | Seattle, WA	Full-time	2d ago	Engineering	Staff / Principal	Ethical AI / Safety, Learning & Growth, Strong Comp & Equity, Mission-Driven, Engineering-Driven, Flat Hierarchy	4.4	https://job-boards.greenhouse.io/anthropic/jobs/5107466008?ref=jobsbyculture.com	https://jobsbyculture.com/companies/anthropic	https://jobsbyculture.com/jobs?company=anthropic			pending	https://jobsbyculture.com/api/og?type=company&slug=anthropic
3662	Senior Staff Software Engineer - IAM	Databricks	databricks	Seattle, Washington	Full-time	2w ago	Engineering	Staff / Principal	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact	4.1	https://databricks.com/company/careers/open-positions/job?gh_jid=7274557002?ref=jobsbyculture.com	https://jobsbyculture.com/companies/databricks	https://jobsbyculture.com/jobs?company=databricks			pending	https://jobsbyculture.com/api/og?type=company&slug=databricks
3663	Proposal Lead	Stripe	stripe	US-Remote	Full-time	1d ago	Other	Lead / Manager	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparency	4	https://stripe.com/jobs/search?gh_jid=7456714?ref=jobsbyculture.com	https://jobsbyculture.com/companies/stripe	https://jobsbyculture.com/jobs?company=stripe			pending	https://jobsbyculture.com/api/og?type=company&slug=stripe
3664	Master Scheduler	CoreWeave	coreweave	Livingston, NJ / New York, NY / Sunnyvale, CA / Bellevue, WA	Full-time	3w+ ago	Other	Mid-Level	Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats	3.6	https://coreweave.com/careers/job?4644273006&board=coreweave&gh_jid=4644273006&ref=jobsbyculture.com	https://jobsbyculture.com/companies/coreweave	https://jobsbyculture.com/jobs?company=coreweave			expired	https://jobsbyculture.com/api/og?type=company&slug=coreweave
3665	Senior Data Scientist - Inference, Global Markets	Airbnb	airbnb	China	Full-time · Remote	3w+ ago	Other	Senior	Remote-Friendly, Work-Life Balance, Diverse & Inclusive, Open Source Culture, Strong Comp & Equity	4.1	https://careers.airbnb.com/positions/7446449?gh_jid=7446449&ref=jobsbyculture.com	https://jobsbyculture.com/companies/airbnb	https://jobsbyculture.com/jobs?company=airbnb			expired	https://jobsbyculture.com/api/og?type=company&slug=airbnb
3666	Staff / Senior Software Engineer, Compute Capacity	Anthropic	anthropic	San Francisco, CA | New York City, NY	Full-time	2d ago	Engineering	Staff / Principal	Ethical AI / Safety, Learning & Growth, Strong Comp & Equity, Mission-Driven, Engineering-Driven, Flat Hierarchy	4.4	https://job-boards.greenhouse.io/anthropic/jobs/5126702008?ref=jobsbyculture.com	https://jobsbyculture.com/companies/anthropic	https://jobsbyculture.com/jobs?company=anthropic			pending	https://jobsbyculture.com/api/og?type=company&slug=anthropic
3667	Senior Staff Software Engineer- Networking	Databricks	databricks	Bengaluru, India	Full-time	1w ago	Engineering	Staff / Principal	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact	4.1	https://databricks.com/company/careers/open-positions/job?gh_jid=8433583002?ref=jobsbyculture.com	https://jobsbyculture.com/companies/databricks	https://jobsbyculture.com/jobs?company=databricks			pending	https://jobsbyculture.com/api/og?type=company&slug=databricks
3668	Real Estate Project Manager	Stripe	stripe	San Francisco, CA	Full-time	1d ago	Operations	Lead / Manager	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparency	4	https://stripe.com/jobs/search?gh_jid=7592661?ref=jobsbyculture.com	https://jobsbyculture.com/companies/stripe	https://jobsbyculture.com/jobs?company=stripe			pending	https://jobsbyculture.com/api/og?type=company&slug=stripe
3669	Metal Net Network Engineer	CoreWeave	coreweave	New York, NY	Full-time	3w+ ago	Engineering	Mid-Level	Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats	3.6	https://coreweave.com/careers/job?4645664006&board=coreweave&gh_jid=4645664006&ref=jobsbyculture.com	https://jobsbyculture.com/companies/coreweave	https://jobsbyculture.com/jobs?company=coreweave			expired	https://jobsbyculture.com/api/og?type=company&slug=coreweave
