PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Redirect URL,Redirect URL code,No. of all inlinks
,https://stripe.com/jobs/search?gh_jid=5323514%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/senior-staff-engineer-reporting-accounting-and-data-services/5323514,,2
,https://boards.greenhouse.io/figma/jobs/5781862004?gh_jid=5781862004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5781862004?gh_jid=5781862004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://apply.workable.com/j/F24E2E5058?ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://apply.workable.com/huggingface/j/F24E2E5058/?ref=jobsbyculture.com,,5
,https://databricks.com/company/careers/open-positions/job?gh_jid=8453290002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8453290002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,2
,https://careers.airbnb.com/positions/7724793?gh_jid=7724793%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7724793/?gh_jid=7724793%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=8429978002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8429978002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://boards.greenhouse.io/cloudflare/jobs/7260763?gh_jid=7260763%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/cloudflare/jobs/7260763?gh_jid=7260763%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://stripe.com/jobs/search?gh_jid=7600099%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/chief-of-staff-sales/7600099,,2
,https://databricks.com/company/careers/open-positions/job?gh_jid=8449858002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8449858002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://boards.greenhouse.io/cloudflare/jobs/7567394?gh_jid=7567394%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/cloudflare/jobs/7567394?gh_jid=7567394%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,2
,https://databricks.com/company/careers/open-positions/job?gh_jid=8199401002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8199401002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://job-boards.greenhouse.io/anthropic/jobs/5111743008?ref=jobsbyculture.com,,,false,302,,1,https://job-boards.greenhouse.io/anthropic?error=true,,5
,https://databricks.com/company/careers/open-positions/job?gh_jid=8453690002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8453690002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://together.ai/?ref=jobsbyculture.com,,text/html,false,301,,1,https://www.together.ai/?ref=jobsbyculture.com,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=8347882002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8347882002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,2
,https://stripe.com/jobs/search?gh_jid=7706329%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/core-recruiter-amer/7706329,,7
,https://boards.greenhouse.io/figma/jobs/5830640004?gh_jid=5830640004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5830640004?gh_jid=5830640004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://boards.greenhouse.io/figma/jobs/5428656004?gh_jid=5428656004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5428656004?gh_jid=5428656004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://careers.airbnb.com/positions/7556586?gh_jid=7556586%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7556586/?gh_jid=7556586%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,4
,https://databricks.com/company/careers/open-positions/job?gh_jid=8403550002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8403550002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=7932024002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=7932024002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://careers.airbnb.com/positions/7634675?gh_jid=7634675%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7634675/?gh_jid=7634675%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
