id,title,company,company_slug,location,type,posted,role_category,seniority,culture_values,glassdoor_rating,apply_url,profile_url,jobs_filter_url,post_count,last_posted,status,og_image,job_id,highlight_url
21,Partner Engineer,LangChain,langchain,"San Francisco, CA",FullTime,3w+ ago,Engineering,Mid-Level,"Open Source, Engineering-Driven, Ship Fast & Iterate, Remote-Friendly, Wears Many Hats, Direct Product Impact, Flat Hierarchy",4.6,https://jobs.ashbyhq.com/langchain/aa5f7876-856b-4abc-8657-1640194a28ca?ref=jobsbyculture.com,https://jobsbyculture.com/companies/langchain,https://jobsbyculture.com/jobs?company=langchain,,,pending,https://jobsbyculture.com/api/og?type=company&slug=langchain,aa5f7876-856b-4abc-8657-1640194a28ca,https://jobsbyculture.com/companies/langchain?job=aa5f7876-856b-4abc-8657-1640194a28ca
22,Design Engineer,Replit,replit,"Foster City, CA (Hybrid) In office M,W,F",FullTime,3w+ ago,Design,Mid-Level,"Ship Fast & Iterate, Remote-Friendly, Wears Many Hats, Direct Product Impact, Engineering-Driven, Open Source, Mission-Driven",4,https://jobs.ashbyhq.com/replit/2f1de5f1-48c2-4104-a697-a51fe1620508?ref=jobsbyculture.com,https://jobsbyculture.com/companies/replit,https://jobsbyculture.com/jobs?company=replit,,,pending,https://jobsbyculture.com/api/og?type=company&slug=replit,2f1de5f1-48c2-4104-a697-a51fe1620508,https://jobsbyculture.com/companies/replit?job=2f1de5f1-48c2-4104-a697-a51fe1620508
23,Account Advocate,Apollo.io,apollo,"Office, Mexico City",Full-time,1d ago,Other,Mid-Level,"Ship Fast & Iterate, Engineering-Driven, Remote-Friendly, Direct Product Impact, Learning & Growth",4,https://job-boards.greenhouse.io/apolloio/jobs/5816552004?ref=jobsbyculture.com,https://jobsbyculture.com/companies/apollo,https://jobsbyculture.com/jobs?company=apollo,,,pending,https://jobsbyculture.com/api/og?type=company&slug=apollo,5816552004,https://jobsbyculture.com/companies/apollo?job=5816552004
24,"Software Engineer, Growth ",Cursor (Anysphere),cursor,SF / NY,FullTime,3w+ ago,Engineering,Mid-Level,"Ship Fast & Iterate, Engineering-Driven, Direct Product Impact, Flat Hierarchy, Wears Many Hats",4,https://jobs.ashbyhq.com/cursor/0ec39ed7-a5dc-4551-bb26-b7f4f9fb4a74?ref=jobsbyculture.com,https://jobsbyculture.com/companies/cursor,https://jobsbyculture.com/jobs?company=cursor,,,pending,https://jobsbyculture.com/api/og?type=company&slug=cursor,0ec39ed7-a5dc-4551-bb26-b7f4f9fb4a74,https://jobsbyculture.com/companies/cursor?job=0ec39ed7-a5dc-4551-bb26-b7f4f9fb4a74
25,"AI Researcher, Core ML (Turbo)",Together AI,together,San Francisco,Full-time,1mo ago,Other,Mid-Level,"Open Source, Engineering-Driven, Learning & Growth, Flat Hierarchy, Wears Many Hats",4.1,https://job-boards.greenhouse.io/togetherai/jobs/4187681007?ref=jobsbyculture.com,https://jobsbyculture.com/companies/together,https://jobsbyculture.com/jobs?company=together,,,pending,https://jobsbyculture.com/api/og?type=company&slug=together,4187681007,https://jobsbyculture.com/companies/together?job=4187681007
26,"Account Executive, Commercial",Airtable,airtable,"Austin, TX",Full-time,1mo ago,Sales,Mid-Level,"Direct Product Impact, Engineering-Driven, Learning & Growth, Diverse & Inclusive, Flat Hierarchy, Remote-Friendly",4.1,https://job-boards.greenhouse.io/airtable/jobs/8403058002?ref=jobsbyculture.com,https://jobsbyculture.com/companies/airtable,https://jobsbyculture.com/jobs?company=airtable,,,pending,https://jobsbyculture.com/api/og?type=company&slug=airtable,8403058002,https://jobsbyculture.com/companies/airtable?job=8403058002
27,Account Development Manager,Mercury,mercury,"San Francisco, CA, New York, NY, Portland, OR, or Remote within United States",Full-time,4d ago,Other,Lead / Manager,"Direct Product Impact, Engineering-Driven, Ship Fast & Iterate, Learning & Growth, Strong Comp & Equity, Wears Many Hats",4.3,https://job-boards.greenhouse.io/mercury/jobs/5820682004?ref=jobsbyculture.com,https://jobsbyculture.com/companies/mercury,https://jobsbyculture.com/jobs?company=mercury,,,pending,https://jobsbyculture.com/api/og?type=company&slug=mercury,5820682004,https://jobsbyculture.com/companies/mercury?job=5820682004
28,Submit a General Application,Suno,suno,Boston,FullTime,3w+ ago,Other,Mid-Level,"Ship Fast & Iterate, Engineering-Driven, Direct Product Impact, Wears Many Hats, Learning & Growth",4.2,https://jobs.ashbyhq.com/suno/c87801d1-4b65-4f1f-9ede-821e7f84ea4c?ref=jobsbyculture.com,https://jobsbyculture.com/companies/suno,https://jobsbyculture.com/jobs?company=suno,,,pending,https://jobsbyculture.com/api/og?type=company&slug=suno,c87801d1-4b65-4f1f-9ede-821e7f84ea4c,https://jobsbyculture.com/companies/suno?job=c87801d1-4b65-4f1f-9ede-821e7f84ea4c
29,AI Engagement Manager,Runway,runway,New York; Remote; San Francisco,Full-time,1w ago,Other,Lead / Manager,"Engineering-Driven, Direct Product Impact, Remote-Friendly, Learning & Growth, Ship Fast & Iterate",4.5,https://job-boards.greenhouse.io/runwayml/jobs/4578364005?ref=jobsbyculture.com,https://jobsbyculture.com/companies/runway,https://jobsbyculture.com/jobs?company=runway,,,pending,https://jobsbyculture.com/api/og?type=company&slug=runway,4578364005,https://jobsbyculture.com/companies/runway?job=4578364005
30,Customer Solution Architect (US time zones),Supabase,supabase,Remote,FullTime,3w+ ago,Other,Mid-Level,"Open Source, Remote-Friendly, Engineering-Driven, Ship Fast & Iterate, Flat Hierarchy, Async Communication",4.8,https://jobs.ashbyhq.com/supabase/d5573afa-636c-4219-832f-386f498243bf?ref=jobsbyculture.com,https://jobsbyculture.com/companies/supabase,https://jobsbyculture.com/jobs?company=supabase,,,pending,https://jobsbyculture.com/api/og?type=company&slug=supabase,d5573afa-636c-4219-832f-386f498243bf,https://jobsbyculture.com/companies/supabase?job=d5573afa-636c-4219-832f-386f498243bf
31,"Analytics Engineer, Data",Tailscale,tailscale,Remote (Canada),Full-time,1mo ago,Data,Mid-Level,"Remote-Friendly, Work-Life Balance, Strong Comp & Equity, Engineering-Driven, Diverse & Inclusive, Transparent",4.4,https://job-boards.greenhouse.io/tailscale/jobs/4562134005?ref=jobsbyculture.com,https://jobsbyculture.com/companies/tailscale,https://jobsbyculture.com/jobs?company=tailscale,,,pending,https://jobsbyculture.com/api/og?type=company&slug=tailscale,4562134005,https://jobsbyculture.com/companies/tailscale?job=4562134005
32,Member of Technical Staff - Systems,Modal,modal,New York,FullTime,3w+ ago,Other,Staff / Principal,"Engineering-Driven, Ship Fast & Iterate, Deep Work / Low Meetings, Open Source, Direct Product Impact, Wears Many Hats",4,https://jobs.ashbyhq.com/modal/9b33ebe7-e829-4f03-97ba-5c94dbd7daf6?ref=jobsbyculture.com,https://jobsbyculture.com/companies/modal,https://jobsbyculture.com/jobs?company=modal,,,pending,https://jobsbyculture.com/api/og?type=company&slug=modal,9b33ebe7-e829-4f03-97ba-5c94dbd7daf6,https://jobsbyculture.com/companies/modal?job=9b33ebe7-e829-4f03-97ba-5c94dbd7daf6
33,Software Engineer,Pylon,pylon,San Francisco,FullTime,3w+ ago,Engineering,Mid-Level,"Ship Fast & Iterate, Engineering-Driven, Flat Hierarchy, Wears Many Hats, Direct Product Impact",3,https://jobs.ashbyhq.com/pylon-labs/edba2728-f620-49f8-b18c-7a4294fe08af?ref=jobsbyculture.com,https://jobsbyculture.com/companies/pylon,https://jobsbyculture.com/jobs?company=pylon,,,pending,https://jobsbyculture.com/api/og?type=company&slug=pylon,edba2728-f620-49f8-b18c-7a4294fe08af,https://jobsbyculture.com/companies/pylon?job=edba2728-f620-49f8-b18c-7a4294fe08af
34,Enterprise Customer Success Manager,incident.io,incidentio,London,FullTime,3w+ ago,Sales,Lead / Manager,"Transparent, Psychological Safety, Ship Fast & Iterate, Learning & Growth, Engineering-Driven, Flat Hierarchy",4.5,https://jobs.ashbyhq.com/incident/a182f665-6dcd-4c65-a62d-0fe12014ad13?ref=jobsbyculture.com,https://jobsbyculture.com/companies/incidentio,https://jobsbyculture.com/jobs?company=incidentio,,,pending,https://jobsbyculture.com/api/og?type=company&slug=incidentio,a182f665-6dcd-4c65-a62d-0fe12014ad13,https://jobsbyculture.com/companies/incidentio?job=a182f665-6dcd-4c65-a62d-0fe12014ad13
35,Senior / Staff Fullstack Engineer,Linear,linear,Europe,FullTime,3w+ ago,Engineering,Staff / Principal,"Deep Work / Low Meetings, Remote-Friendly, Async Communication, Engineering-Driven, Direct Product Impact, Work-Life Balance",4.6,https://jobs.ashbyhq.com/linear/d3bc1ced-3ce4-4086-a050-555055dbb1ff?ref=jobsbyculture.com,https://jobsbyculture.com/companies/linear,https://jobsbyculture.com/jobs?company=linear,,,pending,https://jobsbyculture.com/api/og?type=company&slug=linear,d3bc1ced-3ce4-4086-a050-555055dbb1ff,https://jobsbyculture.com/companies/linear?job=d3bc1ced-3ce4-4086-a050-555055dbb1ff
36,AI Public Policy Manager - Washington DC,Hugging Face,huggingface,"Washington, District of Columbia, United States",Full-time,1mo ago,Legal,Lead / Manager,"Open Source, Flat Hierarchy, Remote-Friendly, Flexible Hours, Transparent, Wears Many Hats, Async Communication",3.8,https://apply.workable.com/j/095A7F1D99?ref=jobsbyculture.com,https://jobsbyculture.com/companies/huggingface,https://jobsbyculture.com/jobs?company=huggingface,,,pending,https://jobsbyculture.com/api/og?type=company&slug=huggingface,095A7F1D99,https://jobsbyculture.com/companies/huggingface?job=095A7F1D99
37,Technical Ex-Founder,PostHog,posthog,Remote,FullTime,3w+ ago,Other,Mid-Level,"Open Source, Transparent, Async Communication, Remote-Friendly, Flat Hierarchy, Wears Many Hats",4.3,https://jobs.ashbyhq.com/posthog/3a7e914b-a993-46e6-9029-6a0f54652497?ref=jobsbyculture.com,https://jobsbyculture.com/companies/posthog,https://jobsbyculture.com/jobs?company=posthog,,,pending,https://jobsbyculture.com/api/og?type=company&slug=posthog,3a7e914b-a993-46e6-9029-6a0f54652497,https://jobsbyculture.com/companies/posthog?job=3a7e914b-a993-46e6-9029-6a0f54652497
38,"Principal Product Manager, Database",Pinecone,pinecone,New York City,FullTime,3w+ ago,Product,Staff / Principal,"Remote-Friendly, Flexible Hours, Diverse & Inclusive, Learning & Growth, Direct Product Impact, Engineering-Driven",4.2,https://jobs.ashbyhq.com/pinecone/7261adcb-026d-4552-8f89-7a46156c40c5?ref=jobsbyculture.com,https://jobsbyculture.com/companies/pinecone,https://jobsbyculture.com/jobs?company=pinecone,,,pending,https://jobsbyculture.com/api/og?type=company&slug=pinecone,7261adcb-026d-4552-8f89-7a46156c40c5,https://jobsbyculture.com/companies/pinecone?job=7261adcb-026d-4552-8f89-7a46156c40c5
39,AI Agent Researcher,Vast AI,vast,"San Francisco, California, United States",Full-time,3w+ ago,Other,Mid-Level,"Engineering-Driven, Ship Fast & Iterate, Flat Hierarchy, Wears Many Hats, Strong Comp & Equity",5,https://job-boards.greenhouse.io/vastai/jobs/4494435008?ref=jobsbyculture.com,https://jobsbyculture.com/companies/vast,https://jobsbyculture.com/jobs?company=vast,,,pending,https://jobsbyculture.com/api/og?type=company&slug=vast,4494435008,https://jobsbyculture.com/companies/vast?job=4494435008
40,Enterprise Account Executive - EMEA,Weaviate,weaviate,EMEA,FullTime,3w+ ago,Sales,Mid-Level,"Remote-Friendly, Async Communication, Flat Hierarchy, Open Source, Work-Life Balance, Diverse & Inclusive, Psychological Safety",4.3,https://jobs.ashbyhq.com/weaviate/ba44ca34-565a-485d-b1ee-6b8eda15abe7?ref=jobsbyculture.com,https://jobsbyculture.com/companies/weaviate,https://jobsbyculture.com/jobs?company=weaviate,,,pending,https://jobsbyculture.com/api/og?type=company&slug=weaviate,ba44ca34-565a-485d-b1ee-6b8eda15abe7,https://jobsbyculture.com/companies/weaviate?job=ba44ca34-565a-485d-b1ee-6b8eda15abe7
41,Account Executive (Hunter),Databricks,databricks,"Melbourne, Australia",Full-time,1w ago,Sales,Mid-Level,"Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact",4.1,https://databricks.com/company/careers/open-positions/job?gh_jid=8441871002?ref=jobsbyculture.com,https://jobsbyculture.com/companies/databricks,https://jobsbyculture.com/jobs?company=databricks,,,pending,https://jobsbyculture.com/api/og?type=company&slug=databricks,8441871002,https://jobsbyculture.com/companies/databricks?job=8441871002
42,Research Engineer,OpenAI,openai,San Francisco,FullTime,3w+ ago,Engineering,Mid-Level,"Engineering-Driven, Ship Fast & Iterate, Learning & Growth, Ethical AI / Safety, Direct Product Impact, Strong Comp & Equity",4.5,https://jobs.ashbyhq.com/openai/240d459b-696d-43eb-8497-fab3e56ecd9b?ref=jobsbyculture.com,https://jobsbyculture.com/companies/openai,https://jobsbyculture.com/jobs?company=openai,,,pending,https://jobsbyculture.com/api/og?type=company&slug=openai,240d459b-696d-43eb-8497-fab3e56ecd9b,https://jobsbyculture.com/companies/openai?job=240d459b-696d-43eb-8497-fab3e56ecd9b
43,"Account Executive, AI Sales",Stripe,stripe,"San Francisco, CA",Full-time,1d ago,Sales,Mid-Level,"Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparent",4,https://stripe.com/jobs/search?gh_jid=7546284?ref=jobsbyculture.com,https://jobsbyculture.com/companies/stripe,https://jobsbyculture.com/jobs?company=stripe,,,pending,https://jobsbyculture.com/api/og?type=company&slug=stripe,7546284,https://jobsbyculture.com/companies/stripe?job=7546284
